StartTime: 2017-06-22 22:50:08.967
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	q0	q1	q2	q3 
39.449	2015-01-01 00:00:59.600	0.0156	-0.1074	0.9805	-1.7700	1.3428	-0.2441	-7.0258	-0.1868	-179.3408	36.3800	-1	-184	2	2175	2018	2220	2056	100002	110.70	0.00558	-0.00198	0.06128	-0.99808 
39.449	2015-01-01 00:00:59.700	0.0161	-0.1069	0.9805	-1.6479	1.4038	-0.2441	-7.1521	-0.1044	-179.4122	36.4200	0	-182	5	2045	2161	2030	2190	1	38961.31	0.00504	-0.00122	0.06238	-0.99802 
39.449	2015-01-01 00:00:59.800	0.0181	-0.1074	0.9814	-1.7700	1.4038	-0.2441	-7.2620	-0.0220	-179.4287	36.5000	-2	-183	5	2171	2015	2220	2042	1	38961.31	0.00491	-0.00049	0.06335	-0.99796 
39.449	2015-01-01 00:00:59.900	0.0156	-0.1060	0.9814	-1.7700	1.3428	-0.2441	-7.3718	0.0494	-179.5001	36.5300	0	-185	5	2044	2155	2018	2211	1	38961.31	0.00436	0.00015	0.06430	-0.99789 
39.449	2015-01-01 00:01:0.000	0.0151	-0.1089	0.9829	-1.7700	1.3428	-0.1831	-7.4762	0.1154	-179.5496	36.5900	0	-185	4	2163	2018	2221	2042	1	38961.31	0.00394	0.00076	0.06522	-0.99783 
39.449	2015-01-01 00:01:0.100	0.0137	-0.1064	0.9810	0.0000	0.0000	0.0000	-7.4103	0.0604	-179.5276	36.6500	-1	-183	2	2045	2166	2034	2200	1	38961.31	0.00412	0.00031	0.06464	-0.99789 
39.449	2015-01-01 00:01:0.200	0.0166	-0.1064	0.9805	0.0000	0.0000	0.0000	-7.3389	0.0055	-179.5386	36.7000	0	-182	2	2174	2018	2220	2042	1	38961.31	0.00400	-0.00018	0.06403	-0.99792 
39.449	2015-01-01 00:01:0.300	0.0151	-0.1055	0.9829	0.0000	0.0000	0.0000	-7.2729	-0.0439	-179.5496	36.7400	0	-181	4	2075	2158	2030	2205	1	38961.31	0.00385	-0.00064	0.06342	-0.99796 
39.450	2015-01-01 00:01:0.400	0.0166	-0.1069	0.9834	0.0000	0.0000	0.0000	-7.2070	-0.0989	-179.5276	36.7700	-3	-181	6	2045	2170	2039	2191	1	38961.31	0.00403	-0.00110	0.06284	-0.99799 
39.450	2015-01-01 00:01:0.500	0.0156	-0.1074	0.9834	0.0000	0.0000	0.0000	-7.1466	-0.1483	-179.4946	36.8100	-2	-182	5	2044	2168	2031	2199	1	38961.31	0.00430	-0.00156	0.06232	-0.99802 
39.450	2015-01-01 00:01:0.600	0.0161	-0.1084	0.9814	0.0000	0.0000	0.0000	-7.0917	-0.1923	-179.4946	36.8400	-1	-184	1	2094	2084	2160	2067	100002	110.70	0.00424	-0.00192	0.06186	-0.99805 
39.450	2015-01-01 00:01:0.700	0.0156	-0.1064	0.9849	0.0000	0.0000	0.0000	-7.0367	-0.2307	-179.4727	36.8800	-2	-182	5	2172	2017	2221	2043	1	38961.31	0.00443	-0.00232	0.06137	-0.99808 
39.450	2015-01-01 00:01:0.800	0.0161	-0.1084	0.9834	0.0000	0.0000	0.0000	-6.9873	-0.2747	-179.4562	36.9100	-3	-184	8	2141	2046	2170	2104	1	38961.31	0.00458	-0.00269	0.06094	-0.99811 
39.450	2015-01-01 00:01:0.900	0.0161	-0.1055	0.9824	0.0000	0.0000	0.0000	-6.9434	-0.3076	-179.4342	36.9400	-2	-184	8	2092	2120	2048	2183	1	38961.31	0.00470	-0.00299	0.06055	-0.99814 
39.450	2015-01-01 00:01:1.000	0.0166	-0.1079	0.9834	0.0000	0.0000	0.0000	-6.8994	-0.3461	-179.4287	36.9800	0	-185	5	2131	2038	2215	2051	1	38961.31	0.00476	-0.00333	0.06018	-0.99817 
39.450	2015-01-01 00:01:1.100	0.0127	-0.1064	0.9810	0.0000	0.0000	0.0000	-6.8555	-0.3790	-179.4562	37.0300	1	-185	4	2159	2019	2220	2042	100002	110.70	0.00452	-0.00360	0.05978	-0.99817 
39.450	2015-01-01 00:01:1.200	0.0161	-0.1064	0.9844	0.0000	0.0000	0.0000	-6.8170	-0.4120	-179.4781	37.0700	0	-184	6	2044	2175	2034	2196	1	38961.31	0.00430	-0.00388	0.05942	-0.99820 
39.450	2015-01-01 00:01:1.300	0.0171	-0.1045	0.9834	0.0000	0.0000	0.0000	-6.7786	-0.4449	-179.4946	37.1000	1	-184	4	2052	2182	2037	2200	1	38961.31	0.00412	-0.00412	0.05911	-0.99823 
39.450	2015-01-01 00:01:1.400	0.0161	-0.1064	0.9844	0.0000	0.0000	0.0000	-6.7401	-0.4669	-179.4836	37.1400	-4	-186	8	2054	2175	2040	2186	1	38961.31	0.00424	-0.00436	0.05881	-0.99823 
39.450	2015-01-01 00:01:1.500	0.0146	-0.1069	0.9834	0.0000	0.0000	0.0000	-6.7072	-0.4944	-179.4507	37.1700	0	-186	5	2042	2172	2037	2191	1	38961.31	0.00449	-0.00461	0.05850	-0.99826 
39.450	2015-01-01 00:01:1.600	0.0156	-0.1069	0.9834	0.0000	0.0000	0.0000	-6.6742	-0.5164	-179.4562	37.2200	-3	-181	6	2043	2173	2039	2191	1	38961.31	0.00446	-0.00479	0.05820	-0.99826 
39.450	2015-01-01 00:01:1.700	0.0142	-0.1060	0.9844	0.0000	0.0000	0.0000	-6.6467	-0.5383	-179.4452	37.2400	-4	-184	6	2062	2128	2117	2102	1	38961.31	0.00452	-0.00500	0.05795	-0.99829 
39.450	2015-01-01 00:01:1.800	0.0176	-0.1074	0.9824	0.0000	0.0000	0.0000	-6.6193	-0.5603	-179.4342	37.2900	0	-184	6	2047	2164	2041	2187	1	38961.31	0.00461	-0.00519	0.05771	-0.99829 
39.450	2015-01-01 00:01:1.900	0.0146	-0.1060	0.9839	0.0000	0.0000	0.0000	-6.5918	-0.5823	-179.4397	37.3200	-2	-186	8	2043	2172	2032	2205	1	38961.31	0.00458	-0.00534	0.05750	-0.99829 
39.450	2015-01-01 00:01:2.000	0.0142	-0.1079	0.9814	0.0000	0.0000	0.0000	-6.5643	-0.5988	-179.4067	37.3400	-4	-183	6	2045	2169	2040	2185	1	38961.31	0.00482	-0.00552	0.05725	-0.99832 
39.451	2015-01-01 00:01:2.100	0.0146	-0.1060	1.0005	0.0000	0.0000	0.0000	-6.5424	-0.6152	-179.3573	37.3600	-3	-184	8	2043	2172	2033	2195	1	38961.31	0.00525	-0.00568	0.05707	-0.99832 
39.451	2015-01-01 00:01:2.200	0.0186	-0.1040	0.9785	0.0000	0.0000	0.0000	-6.5149	-0.6317	-179.3408	37.3800	-2	-184	7	2044	2170	2029	2213	1	38961.31	0.00537	-0.00583	0.05682	-0.99835 
39.451	2015-01-01 00:01:2.300	0.0181	-0.1001	0.9756	0.0000	0.0000	0.0000	-6.4984	-0.6482	-179.3188	37.4200	0	-182	10	2046	2165	2028	2203	1	38961.31	0.00558	-0.00598	0.05664	-0.99835 
39.451	2015-01-01 00:01:2.400	0.0161	-0.1069	0.9805	0.0000	-0.0610	0.0000	-6.4819	-0.6647	-179.3408	37.4400	-1	-183	7	2044	2167	2031	2187	1	38961.31	0.00537	-0.00613	0.05649	-0.99835 
39.451	2015-01-01 00:01:2.500	0.0137	-0.1094	0.9951	0.0000	0.0000	0.0610	-6.4600	-0.6812	-179.3518	37.4600	-1	-185	2	2169	2016	2221	2044	1	38961.31	0.00528	-0.00629	0.05630	-0.99835 
